id	分类模块	族	类型	英文	中文	状态
	界面文案	通用界面	ui	Edit Structure in Zone	编辑区域中的结构	ok
	界面文案	载具与工坊	ui	Edit Vehicle in Zone	在区域中编辑载具	ok
	界面文案	警告与错误	ui	Too Many Structures in Zone	区域内结构过多	ok
	界面文案	警告与错误	ui	Too Many Vehicles in Zone	区域内载具过多	ok
	界面文案	通用界面	ui	Ladder	梯子	ok
	界面文案	通用界面	ui	Collect Present	收集礼物	ok
	界面文案	通用界面	ui	Collect Loot	收集战利品	ok
	界面文案	通用界面	ui	Pick Up	拿起	ok
	界面文案	通用界面	ui	Default State	默认状态	ok
	界面文案	通用界面	ui	Hold Duration	保持时间	ok
	界面文案	微控制器与 Lua	ui	Min Value	最小值	ok
	界面文案	微控制器与 Lua	ui	Max Value	最大值	ok
	界面文案	通用界面	ui	Start Value	起始值	ok
	界面文案	通用界面	ui	Output Label	输出标签	ok
	界面文案	通用界面	ui	Output A Label	输出A标签	ok
	界面文案	通用界面	ui	Output B Label	输出B标签	ok
	界面文案	通用界面	ui	Color Mode	色彩模式	ok
	界面文案	通用界面	ui	RGB	RGB	ok
	界面文案	通用界面	ui	HSV	HSV	ok
	界面文案	微控制器与 Lua	ui	Composite Channels	复合通道	ok
	界面文案	通用界面	ui	Red/Hue	红色/色调	ok
	界面文案	通用界面	ui	Green/Sat	绿色/饱和度	ok
	界面文案	通用界面	ui	Blue/Val	蓝色/色度	ok
	界面文案	通用界面	ui	Instrument 1	仪器1	ok
	界面文案	通用界面	ui	Instrument 2	仪器2	ok
	界面文案	通用界面	ui	Instrument 3	仪器3	ok
	界面文案	通用界面	ui	Instrument 4	仪器4	ok
	界面文案	通用界面	ui	Display Name	显示名称	ok
	界面文案	通用界面	ui	Dial	仪表盘	ok
	界面文案	通用界面	ui	Indicator	指示灯	ok
	界面文案	通用界面	ui	Gauge	计量表	ok
	界面文案	通用界面	ui	Arrow Button	箭头按钮	ok
	界面文案	通用界面	ui	Flip Switch	拨动开关	ok
	界面文案	通用界面	ui	Seven Segment	七段显示数码管	ok
	界面文案	通用界面	ui	Radial Segment	扇形分段指示灯	ok
	界面文案	通用界面	ui	Bar Segment	垂直分段指示灯	ok
	界面文案	微控制器与 Lua	ui	Max Power	最大功率	ok
	界面文案	通用界面	ui	RPS Limiter	RPS限制器	ok
	界面文案	通用界面	ui	Blade Count	叶片数	ok
	界面文案	通用界面	ui	2 Blades	2叶	ok
	界面文案	通用界面	ui	3 Blades	3叶	ok
	界面文案	通用界面	ui	4 Blades	4叶	ok
	界面文案	通用界面	ui	5 Blades	5叶	ok
	界面文案	通用界面	ui	6 Blades	6叶	ok
	界面文案	通用界面	ui	7 Blades	7叶	ok
	界面文案	通用界面	ui	8 Blades	8叶	ok
	界面文案	通用界面	ui	Blade Pitch	桨距	ok
	界面文案	通用界面	ui	positive	最大桨距	ok
	界面文案	通用界面	ui	neutral	零桨距	ok
	界面文案	微控制器与 Lua	ui	Min Throttle	最小节流阀	ok
	界面文案	微控制器与 Lua	ui	Max Throttle	最大节流阀	ok
	界面文案	通用界面	ui	Decimal Point Position	小数点位置	ok
	界面文案	通用界面	ui	Decimals Disabled	小数点禁用	ok
	界面文案	通用界面	ui	Sound Type	声音类型	ok
	界面文案	警告与错误	ui	Warning 1	警告1	ok
	界面文案	警告与错误	ui	Warning 2	警告2	ok
	界面文案	警告与错误	ui	Warning 3	警告3	ok
	界面文案	通用界面	ui	Beep 1	嘟嘟声1	ok
	界面文案	通用界面	ui	Beep 2	嘟嘟声2	ok
	界面文案	通用界面	ui	Seatbelt	安全带	ok
	界面文案	图形与设置	ui	Volume	音量	ok
	界面文案	通用界面	ui	Roll	滚转(Roll)	ok
	界面文案	通用界面	ui	Pitch	俯仰(Pitch)	ok
	界面文案	通用界面	ui	Yaw	偏航(Yaw)	ok
	界面文案	通用界面	ui	Preview	预览	ok
	界面文案	通用界面	ui	Blink On Duration	闪烁持续时间	ok
	界面文案	通用界面	ui	Blink Off Duration	闪烁持续时间	ok
	界面文案	通用界面	ui	Delay Timer	延时定时器	ok
	界面文案	通用界面	ui	Low Threshold	低阈值	ok
	界面文案	通用界面	ui	High Threshold	高阈值	ok
	界面文案	通用界面	ui	Output Value	输出值	ok
	界面文案	通用界面	ui	Proportional Gain	比例增益(Proportional Gain)	ok
	界面文案	通用界面	ui	Integral Gain	积分增益(Integral Gain)	ok
	界面文案	通用界面	ui	Derivative Gain	导数增益(Derivative Gain)	ok
	界面文案	通用界面	ui	Reset Value	重置值	ok
	界面文案	通用界面	ui	Charge Time	充电时间	ok
	界面文案	通用界面	ui	Discharge Time	放电时间	ok
	界面文案	通用界面	ui	Sensor Mode	传感器模式	ok
	界面文案	通用界面	ui	Absolute	绝对	ok
	界面文案	通用界面	ui	Directional	方向性	ok
	界面文案	通用界面	ui	Horizontal	水平	ok
	界面文案	通用界面	ui	Vertical	垂直	ok
	界面文案	通用界面	ui	Function	功能	ok
	界面文案	通用界面	ui	Inverse Sine	反正弦	ok
	界面文案	通用界面	ui	Inverse Cosine	反余弦	ok
	界面文案	通用界面	ui	Inverse Tangent	反正切	ok
	界面文案	通用界面	ui	Exponent	指数	ok
	界面文案	通用界面	ui	No properties exposed.	没有属性暴露	ok
	界面文案	通用界面	ui	Speed	速度	ok
	界面文案	微控制器与 Lua	ui	Max Power	最大功率	ok
	界面文案	通用界面	ui	Gear Ratio	传动比	ok
	界面文案	通用界面	ui	Parachute Size	降落伞尺寸	ok
	界面文案	通用界面	ui	Label	标签	ok
	界面文案	通用界面	ui	Mode	模式	ok
	界面文案	通用界面	ui	Sticky	保持	ok
	界面文案	通用界面	ui	Toggle	切换	ok
	界面文案	通用界面	ui	Push	按住	ok
	界面文案	通用界面	ui	Trim	配平	ok
	界面文案	通用界面	ui	Trim Axis 1	配平轴1	ok
	界面文案	通用界面	ui	Trim Axis 2	配平轴2	ok
	界面文案	通用界面	ui	Trim Axis 3	配平轴3	ok
	界面文案	通用界面	ui	Trim Axis 4	配平轴4	ok
	界面文案	通用界面	ui	Spring Strength	弹簧强度	ok
	界面文案	通用界面	ui	Ratio Off	关闭时比例	ok
	界面文案	通用界面	ui	Ratio On	开启时比例	ok
	界面文案	通用界面	ui	Fluid Type	流体类型	ok
	界面文案	通用界面	ui	Fresh Water	净水	ok
	界面文案	通用界面	ui	Sea Water	海水	ok
	界面文案	通用界面	ui	Empty	空的	ok
	界面文案	通用界面	ui	Allow Fresh Water	允许净水	ok
	界面文案	通用界面	ui	Allow Sea Water	允许海水	ok
	界面文案	通用界面	ui	Allow Diesel	允许柴油	ok
	界面文案	物理与机制	ui	Allow Jet Fuel	允许航空燃油	ok
	界面文案	通用界面	ui	Allow Air	允许空气	ok
	界面文案	通用界面	ui	Allow Carbon Dioxide	允许二氧化碳	ok
	界面文案	通用界面	ui	Allow Crude Oil	允许原油	ok
	界面文案	通用界面	ui	Grip	抓地力	ok
	界面文案	通用界面	ui	Tyre Tread	轮胎胎面	ok
	界面文案	通用界面	ui	All Round	全方位	ok
	界面文案	通用界面	ui	High Speed	高速	ok
	界面文案	通用界面	ui	High Grip	高抓地力	ok
	界面文案	通用界面	ui	Stiffness	刚度	ok
	界面文案	通用界面	ui	Damping	阻尼	ok
	界面文案	通用界面	ui	Tyre Radius	轮胎半径	ok
	界面文案	物理与机制	ui	Tyre Pressure	轮胎气压	ok
	界面文案	通用界面	ui	Track Tension	轨道张力	ok
	界面文案	通用界面	ui	VIDEO	视频	ok
	界面文案	通用界面	ui	Edit video transfer nodes.	编辑视频传输节点	ok
	界面文案	通用界面	ui	video	视频	ok
	界面文案	图形与设置	ui	Edit audio transfer nodes.	编辑音频传输节点	ok
	界面文案	图形与设置	ui	audio	音频	ok
	界面文案	通用界面	ui	ROPE	绳索	ok
	界面文案	通用界面	ui	Edit rope transfer nodes.	编辑绳索传输节点	ok
	界面文案	通用界面	ui	rope	绳	ok
	界面文案	微控制器与 Lua	ui	LUA SCRIPTING OVERVIEW	LUA脚本概述	ok
	界面文案	微控制器与 Lua	ui	Lua scripting gives you the tools to create advanced logic components using the Lua scripting language. Stormworks provides a number of functions to allow your script to interface with your vehicle's logic system, as well as drawing to in-game monitors.\n\nThis guide outlines the functions that are available for use in your scripts but it is not a comprehensive tutorial on using the Lua language.	Lua脚本提供了使用Lua脚本语言创建高级逻辑组件的工具。Stormworks提供了许多功能，允许脚本与载具的逻辑系统进行交互，并绘制到游戏中的屏幕中。\n\n本指南概述了可在脚本中使用的功能，但它不是使用Lua语言的综合系统性教程。\n\n显示器中的绘图均以左上角为坐标原点，向右为X轴正方向，向下为Y轴正方向。文字的坐标为其左上角像素点的坐标值。\n\n游戏中一个单位长度为32个像素，即:\n\n屏幕1x1=32x32像素；\n\n屏幕2x2=64x64像素；\n\n屏幕5x3=160x96像素；\n\n屏幕9x5=288x160像素；\n\nHUD(小)=32x32像素；\n\nHUD(大)=96x96像素	ok
	界面文案	微控制器与 Lua	ui	SCRIPT BASICS	脚本基础	ok
	界面文案	微控制器与 Lua	ui	The tick function will be called once every logic tick and should be used for reading composite data and any required processing. Screen functions will have no effect if called within onTick.	tick函数将在每个逻辑tick调用一次，并应用于读取复合数据和任何所需的处理。如果在onTick中调用屏幕功能，则不会产生任何效果	ok
	界面文案	微控制器与 Lua	ui	The draw function will be called any time this script is drawn by a monitor. Note that it can be called multiple times if this microcontroller is connected to multiple monitors whereas onTick is only called once. Composite input/output functions will have no effect if called within onDraw.	当屏幕绘制此脚本时，将调用draw函数。注意，如果这个微控制器连接收到多个屏幕，它可以被多次调用，而onTick只被调用一次。如果在onDraw中调用复合输入/输出函数，则不会产生任何效果	ok
	界面文案	微控制器与 Lua	ui	COMPOSITE INPUT/OUTPUT	复合输入输出	ok
	界面文案	通用界面	ui	PROPERTIES	属性	ok
	界面文案	微控制器与 Lua	ui	Read the values of property components within this microcontroller directly. The label passed to each function should match the label that has been set for the property you're trying to access (case-sensitive).	直接读取此微控制器中属性组件的值。传递给每个函数的标签应与为您试图访问的属性设置的标签匹配(区分大小写)	ok
	界面文案	微控制器与 Lua	ui	Read values from the composite input. Index ranges from 1 - 32.	从复合输入读取值。索引范围从1到32	ok
	界面文案	微控制器与 Lua	ui	Set values on the composite output. Index ranges from 1 - 32.	在复合输出上设置值。索引范围从1到32	ok
	界面文案	通用界面	ui	DRAWING	绘图	ok
	界面文案	通用界面	ui	Set the current draw color. Values range from 0 - 255.	设置当前绘制颜色。值的范围从0到255	ok
	界面文案	通用界面	ui	Set the current draw color and transparency. Values range from 0 - 255.	设置当前绘制颜色和透明度。值的范围从0到255	ok
	界面文案	通用界面	ui	Clear the screen with the current colour.	用当前颜色清除/覆盖屏幕	ok
	界面文案	通用界面	ui	Draw line from (x1, y1) to (x2, y2).	从(x1，y1)到(x2，y2)绘制直线	ok
	界面文案	通用界面	ui	Draw circle at (x, y) with radius.	在(x，y)处画一定半径的空心圆	ok
	界面文案	通用界面	ui	Draw filled circle at (x, y) with radius.	在(x，y)处画一定半径的实心圆	ok
	界面文案	通用界面	ui	Draw rectangle at (x, y) with width and height.	在(x，y)处绘制一定宽高的空心矩形	ok
	界面文案	通用界面	ui	Draw filled rectangle at (x, y) with width and height.	在(x，y)处绘制一定宽高的填充矩形	ok
	界面文案	通用界面	ui	Draw triangle between (x1, y1), (x2, y2) and (x3, y3).	在(x1，y1)，(x2，y2)和(x3，y3)之间绘制空心三角形	ok
	界面文案	通用界面	ui	Draw filled triangle between (x1, y1), (x2, y2) and (x3, y3).	在(x1，y1)，(x2，y2)和(x3，y3)之间绘制填充三角形	ok
	界面文案	通用界面	ui	Draw text at (x, y). Each character is 4 pixels wide and 5 pixels tall.	在(x，y)处绘制文本。每个字符宽4像素，高5像素	ok
	界面文案	通用界面	ui	Draw text within the rectangle at (x, y) with width and height. Text alignment can be specified using the last two parameters and ranges from -1 to 1 (left to right, top to bottom). If either of the alignment parameters are omitted, the text will be drawn top-left by default. Text will automatically wrap at spaces when possible, and will overflow the top/bottom of the specified rectangle if too large.	在矩形内绘制宽度和高度为(x，y)的文本。文本对齐可以使用最后两个参数指定，范围从-1到1(从左到右，从上到下)。如果忽略任何一个对齐参数，则默认情况下文本将绘制在左上角。如果可能，文本将自动换行，如果太大，文本将溢出指定矩形的顶部/底部	ok
	界面文案	通用界面	ui	Draw the world map centred on map coordinate (x,y) with zoom level ranging from 0.1 to 50.	绘制以地图坐标(x，y)为中心的世界地图，缩放级别从0.1到50.	ok
	界面文案	通用界面	ui	Set the colors used for rendering the map. Values range from 0 - 255, alpha is optional. These colors do not apply to the moon map.	设置用于渲染贴图的颜色.值的范围为0到255,alpha是可选的.这些颜色不适用于月球地图	ok
	界面文案	通用界面	ui	Get the width/height of the screen currently being rendered to.	获取当前渲染到的屏幕的宽度/高度	ok
	界面文案	通用界面	ui	MAP	地图	ok
	界面文案	通用界面	ui	Convert pixel coordinates into world coordinates.	将像素坐标转换为世界坐标	ok
	界面文案	通用界面	ui	Convert world coordinates into pixel coordinates.	将世界坐标转换为像素坐标	ok
	界面文案	微控制器与 Lua	ui	LUA FUNCTIONS	LUA函数	ok
	界面文案	微控制器与 Lua	ui	The following global lua functions are available:\n\n- pairs\n- ipairs\n- next\n- tostring\n- tonumber\n\nand additional functions are available through the following lua libraries:\n\n- math\n- table\n- string\n\nFor full documentation of the functions provided by these libraries, visit https://www.lua.org/manual/.	以下全局lua函数可用:\n\n-pairs\n-ipairs\n-next\n-tostring\n-tonumber\n\n其他函数可通过以下lua库使用:\n\n-math\n-table\n-string\n\n有关这些库提供的函数的完整文档，请访问https://www.lua.org/manual/	ok
	界面文案	通用界面	ui	TELEMETRY FUNCTIONS	遥测功能	ok
	界面文案	任务与剧情	ui	The following global async functions are available:\n\n- httpGet\n\nHTTP requests are sent to the localhost on the specified port. Responses are caught with the httpReply(port, request_body, response_body) callback function.\n\nasync.httpGet(port, request_body)\n\nExample of a HTTP request sent to port 80:	可以使用以下全局异步函数:\n\n-httpGet\n\nHTTP请求被发送到指定端口上的本地主机。使用httpReply(端口，request_body，response_body)回调函数捕获响应。\n\nasync.httpGet(端口，request_body)\n\n[译者注:此函数使用可以参考本人B站视频:BV1mV411B7Bg] \n\n发送到端口80的HTTP请求示例:	ok
	界面文案	通用界面	ui	META FROM THE DEVS	来自开发组的参考	ok
	界面文案	微控制器与 Lua	ui	This scripting API is very powerful and as such there are some important reminders to take note of:\n\n- Your script has a max execution time of 1000 milliseconds, however it is still possible to create scripts that significantly slow down the game. It is your responsibility to ensure your script runs efficiently.\n\n- Random number functions are provided by the Lua math library. Use of randomness in your scripts is likely to cause desync in multiplayer, so use these functions at your own risk.\n\n- When your vehicle despawns and respawns, your script will be executed 'fresh' and any state stored within the script will be lost. We recommend keeping your script as stateless as possible, and making use of existing logic components (e.g. memory register) to store values that you wish to persist.\n\n- Your scripts run as a 'black box' with only the logic inputs/outputs being synced in multiplayer. Keep in mind that complex logic in your script may behave differently for different players in a multiplayer session.\n\n- A number of safeguards are in place to sandbox your script, however it is still possible to write scripts that will potentially crash your game. If you crash your game with a script, it's likely that you're doing something (very) wrong. This is your own responsibility. If you suspect you have encountered a legitimate bug, please report it on the Stormworks issue tracker (accessible from the pause-menu).\n\n- Malicious and harmful scripts will not be tolerated on the Stormworks Steam Workshop.\n\nFinally, enjoy the almost limitless possibilities that these scripts provide. This short wiki aims to give a good overview of how scripting in Stormworks works, however if you have any questions that are not covered here, please feel free to join us on Discord (accessible from the pause-menu)!	这个脚本API非常强大，因此有一些重要的提示需要注意:\n\n-您的脚本的最大执行时间为1000毫秒，但是仍然可以创建显著减慢游戏速度的脚本。确保脚本有效运行是您的责任。\n\n-Lua数学库提供随机数函数。在脚本中使用随机性可能会在多人游戏中导致desync，因此使用这些功能的风险由您自己承担。\n\n-当您的载具报废和重生时，您的脚本将被“刷新”执行，脚本中存储的任何状态都将丢失。我们建议尽可能使脚本保持无状态，并使用现有的逻辑组件(例如内存寄存器)来存储希望保持的值。\n\n-脚本作为“黑盒”运行，只有逻辑输入/输出在多人游戏中同步。请记住，脚本中的复杂逻辑对于多人会话中的不同玩家可能会有不同的行为。\n\n-有许多保护措施可以对脚本进行沙箱处理，但是仍然可以编写可能会导致游戏崩溃的脚本。如果你用脚本把游戏搞崩溃了，你(很)可能写错了什么。这是你自己的责任。如果怀疑遇到了游戏本身的错误，请在Stormworks问题跟踪程序(可从“暂停”菜单访问)上报告。\n\n-Stormworks Steam创意工坊不允许恶意和有害的脚本。\n\n最后，享受这些脚本提供的几乎无限的可能性。这个简短的wiki旨在很好地概述Stormworks中的脚本是如何工作的，但是如果您有任何此处未涉及的问题，请随时加入我们的Discord(可从暂停菜单访问)！	ok
	界面文案	通用界面	ui	TOUCHSCREEN DATA	触摸屏数据	ok
	界面文案	微控制器与 Lua	ui	The composite output from the monitors contains data that can be interpreted in your script to create touchscreens. The layout of the composite data is as follows:\n\nNumber Channels\n1: monitorResolutionX\n2: monitorResolutionY\n3: input1X\n4: input1Y\n5: input2X\n6: input2Y\n\nOn/Off Channels:\n1: isInput1Pressed\n2: isInput2Pressed\n\nThis is an example of a script that outputs a signal on composite channel 1 if the player is pressing the screen within a specific rectangle:	屏幕的复合输出包含可以在脚本中解释以创建触摸屏的数据。组合数据的布局如下所示:\n\n数字频道:\n1:monitorResolutionX\n2:monitorresolutionY\n3:input1X\n4:input1Y\n5:input2X\n6:input2Y\n\n开关频道:\n1:isInput1Pressed\n2:isInput2Pressed\n\n这是一个脚本示例，如果玩家在一个特定矩形:	ok
	界面文案	警告与错误	ui	Check Errors	检查错误	ok
	界面文案	微控制器与 Lua	ui	Script	脚本	ok
	界面文案	通用界面	ui	Help	帮助	ok
	界面文案	通用界面	ui	Burn Rate	燃烧率	ok
	界面文案	通用界面	ui	Infrared	红外	ok
	界面文案	通用界面	ui	Default to Active	默认为活动	ok
	界面文案	通用界面	ui	sec	秒	ok
	界面文案	通用界面	ui	rps	每秒转速	ok
	界面文案	物理与机制	ui	Muzzle Velocity	初速	ok
	界面文案	载具与工坊	ui	Helicopters	直升机	ok
	界面文案	通用界面	ui	Planes	飞机	ok
	界面文案	通用界面	ui	Heavy Aircraft	重型飞机	ok
	界面文案	通用界面	ui	Jets	喷气式飞机	ok
	界面文案	通用界面	ui	Afterburner	加力燃烧室	ok
	界面文案	通用界面	ui	VTOL	垂直起降	ok
	界面文案	通用界面	ui	Large Jets	大型喷气式飞机	ok
	界面文案	通用界面	ui	Jet Ducting	喷射管道	ok
	界面文案	地形与环境	ui	Solid Rockets	固体火箭	ok
	界面文案	通用界面	ui	Doors	门	ok
	界面文案	地形与环境	ui	Docking Doors	对接门	ok
	界面文案	通用界面	ui	Custom Doors	定制门	ok
	界面文案	通用界面	ui	Large Boats	大船	ok
	界面文案	通用界面	ui	Shipping	航运	ok
	界面文案	通用界面	ui	Navigation	导航	ok
	界面文案	通用界面	ui	Radar and Sonar	雷达和声纳	ok
	界面文案	任务与剧情	ui	Rescue Equipment	救援装备	ok
	界面文案	通用界面	ui	Diving Equipment	潜水装备	ok
	界面文案	通用界面	ui	Deep Sea Diving	深潜装备	ok
	界面文案	通用界面	ui	Firefighting Equipment	消防装备	ok
	界面文案	任务与剧情	ui	Advanced Rescue Equipment	高级救援装备	ok
	界面文案	任务与剧情	ui	Arctic Rescue	极地救援装备	ok
	界面文案	通用界面	ui	Sensors	传感器	ok
	界面文案	通用界面	ui	Advanced Sensors	高级传感器	ok
	界面文案	通用界面	ui	Weather Sensors	气象传感器	ok
	界面文案	通用界面	ui	Buttons	按钮	ok
	界面文案	通用界面	ui	Keypads	小键盘	ok
	界面文案	通用界面	ui	Displays	显示器	ok
	界面文案	通用界面	ui	Advanced Displays	高级显示器	ok
	界面文案	通用界面	ui	Video Equipment	视频设备	ok
	界面文案	通用界面	ui	Basic Mechanics	基本机械	ok
	界面文案	通用界面	ui	Compact Mechanics	紧凑机械	ok
	界面文案	载具与工坊	ui	Land Vehicles	陆地载具	ok
	界面文案	载具与工坊	ui	Heavy Land Vehicles	重型陆地载具	ok
	界面文案	通用界面	ui	Trains	火车	ok
	界面文案	通用界面	ui	Tank Tracks Small	小型坦克履带	ok
	界面文案	通用界面	ui	Tank Tracks Medium	中型坦克履带	ok
	界面文案	通用界面	ui	Tank Tracks Large	大型坦克履带	ok
	界面文案	载具与工坊	ui	Arctic Land Vehicles	北极陆地载具	ok
	界面文案	通用界面	ui	Decorations	装饰品	ok
	界面文案	通用界面	ui	Railings	栏杆	ok
	界面文案	通用界面	ui	Basic Logic	基本逻辑	ok
	界面文案	通用界面	ui	Functions	函数	ok
	界面文案	通用界面	ui	Behaviour	行为	ok
	界面文案	通用界面	ui	Advanced Logic	高级逻辑	ok
	界面文案	通用界面	ui	Electrics	电	ok
	界面文案	通用界面	ui	High Capacity Electrics	大容量电池	ok
	界面文案	通用界面	ui	Radio RX	无线电收发机	ok
	界面文案	通用界面	ui	Fluid Management	流体管理	ok
	界面文案	通用界面	ui	Advanced Fluid Management	高级流体管理	ok
	界面文案	通用界面	ui	Water Jets	喷水引擎	ok
	界面文案	通用界面	ui	UNLOCKS	解锁	ok
	界面文案	通用界面	ui	RESEARCH PATH	研究路径	ok
	界面文案	通用界面	ui	Begin Research	开始研究	ok
	界面文案	通用界面	ui	Attach	连接	ok
	界面文案	通用界面	ui	Detach	分离	ok
	界面文案	通用界面	ui	Apply First Aid	急救	ok
	界面文案	通用界面	ui	Revive	复苏	ok
	界面文案	警告与错误	ui	Cannot Equip In Active Slot	不能装备到主动道具栏	ok
	界面文案	载具与工坊	ui	Keep Vehicle Active	保持载具激活	ok
	界面文案	通用界面	ui	Cargo Object	货舱物体	ok
	界面文案	通用界面	ui	Fire Extinguished	灭火	ok
	界面文案	地形与环境	ui	Reported Forest Fires	报告的森林火灾	ok
	界面文案	地形与环境	ui	Put out forest fire	扑灭森林火灾	ok
	界面文案	地形与环境	ui	Put out this forest fire that will cause major environmental damage.	扑灭这场会造成重大环境破坏的森林大火	ok
	界面文案	地形与环境	ui	A forest fire has appeared that threatens local flora and fauna.	一场威胁当地动植物的森林大火已经出现	ok
	界面文案	通用界面	ui	An uncontrolled blaze has sprung up, decimating the natural scenery.	一场无法控制的大火突然爆发，破坏了自然环境	ok
	界面文案	通用界面	ui	Extinguish the wildfire before it gets out of control.	在野火失去控制之前把它扑灭	ok
	界面文案	地形与环境	ui	A forest fire needs to be extinguished.	森林大火需要扑灭	ok
	界面文案	通用界面	ui	Zone	区域	ok
	界面文案	通用界面	ui	Pickup	装货	ok
	界面文案	通用界面	ui	Dropoff	卸货	ok
	界面文案	通用界面	ui	Cargo Dropoff Point	卸货点	ok
	界面文案	通用界面	ui	Cargo Pickup Point	装货点	ok
	界面文案	通用界面	ui	Imported Cargo	进口货物	ok
	界面文案	通用界面	ui	Exported Cargo	出口货物	ok
	界面文案	通用界面	ui	Nearby Cargo	旁边的货物	ok
	界面文案	通用界面	ui	Crate	板条箱	ok
	界面文案	通用界面	ui	Passenger	乘客	ok
	界面文案	通用界面	ui	Container	容器	ok
	界面文案	多人游戏与服务器	ui	Vehicle editing is disabled by server settings.	载具编辑已被服务器禁用	ok
	界面文案	编辑器与建造	ui	You must be authorised to use workbench.	你必须得到授权才能使用工作台	ok
	界面文案	通用界面	ui	Explosion ignition point	爆炸着火点	ok
	界面文案	通用界面	ui	Explosion magnitude	爆炸当量	ok
	界面文案	通用界面	ui	Begin	开始	ok
	界面文案	通用界面	ui	End	终点	ok
	界面文案	通用界面	ui	Hardware	硬件	ok
	界面文案	通用界面	ui	Config	配置	ok
	界面文案	通用界面	ui	Settling	沉降	ok
	界面文案	通用界面	ui	Returning to menu	返回菜单	ok
	界面文案	通用界面	ui	OS	操作系统	ok
	界面文案	通用界面	ui	CPU	CPU	ok
	界面文案	通用界面	ui	RAM	RAM	ok
	界面文案	图形与设置	ui	GPU Vendor	GPU供应商	ok
	界面文案	图形与设置	ui	GPU	GPU	ok
	界面文案	微控制器与 Lua	ui	Min/Avg/Max	最小/平均/最大	ok
	界面文案	通用界面	ui	Samples	采样	ok
	界面文案	通用界面	ui	Frame	框架	ok
	界面文案	通用界面	ui	Thread	线程	ok
	界面文案	图形与设置	ui	Framerate (FPS)	帧率(FPS)	ok
	界面文案	通用界面	ui	Frame Time (ms)	帧时间(ms)	ok
	界面文案	通用界面	ui	CPU Active Time (ms)	CPU活动时间(ms)	ok
	界面文案	通用界面	ui	CPU Utilization	CPU利用率	ok
	界面文案	图形与设置	ui	FPS	FPS	ok
	界面文案	通用界面	ui	Diving Equipment	潜水装备	ok
	界面文案	生物与角色	ui	Firefighting Outfit	救火外套	ok
	界面文案	通用界面	ui	Scuba Gear	水肺装备	ok
	界面文案	通用界面	ui	Parachute	降落伞	ok
	界面文案	通用界面	ui	Thermal Clothing	隔热服	ok
	界面文案	通用界面	ui	Binoculars	望远镜	ok
	界面文案	通用界面	ui	Cable	线	ok
	界面文案	通用界面	ui	Compass	指南针	ok
	界面文案	通用界面	ui	Defibrillator	心脏除颤器	ok
	界面文案	通用界面	ui	First Aid Kit	急救包	ok
	界面文案	通用界面	ui	Flaregun	信号弹枪	ok
	界面文案	通用界面	ui	Flaregun Ammo	信号弹	ok
	界面文案	通用界面	ui	Flashlight	手电筒	ok
	界面文案	通用界面	ui	Hose	软管	ok
	界面文案	通用界面	ui	Night Vision Binoculars	夜视望远镜	ok
	界面文案	通用界面	ui	Oxygen Mask	氧气面罩	ok
	界面文案	通用界面	ui	Radio	无线电	ok
	界面文案	通用界面	ui	Radio Signal Locator	无线电信号定位器	ok
	界面文案	通用界面	ui	Remote Control Unit	远程控制单元	ok
	界面文案	通用界面	ui	Rope	绳索	ok
	界面文案	通用界面	ui	Strobe Light	频闪灯	ok
	界面文案	通用界面	ui	Strobe Light (infrared)	频闪灯(红外)	ok
	界面文案	通用界面	ui	Transponder	应急信标	ok
	界面文案	通用界面	ui	Underwater Welding Torch	水下火旱枪	ok
	界面文案	通用界面	ui	Welding Torch	火旱枪	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Open parachute [$[action_equipment_secondary]] Close parachute	[$[action_equipment_use]] 打开降落伞 [$[action_equipment_secondary]] 关闭降落伞	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Zoom in	[$[action_equipment_use]]放大	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Revive incapacitated player	按[$[action_equipment_use]]复活丧失行动能力的玩家	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Spray water	[$[action_equipment_use]] 洒水	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Heal self / target	[$[action_equipment_use]] 治疗自己/目标	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Throw flare	[$[action_equipment_use]] 扔出信号弹	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Fire flare [$[action_equipment_secondary]] Reload	[$[action_equipment_use]]发射信号弹 [$[action_equipment_secondary]]重新装填	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Reload flaregun	[$[action_equipment_use]] 重新装填信号弹枪	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Toggle flashlight	[$[action_equipment_use]] 开关手电筒	ok
	界面文案	按键与控制	ui	[$[action_equipment_secondary]] Toggle hose nozzle	[$[action_equipment_secondary]] 开关软管喷嘴	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Zoom in	[$[action_equipment_use]]放大	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Recover oxygen	[$[action_equipment_use]] 回复氧气	ok
	界面文案	按键与控制	ui	[$[action_equipment_use]] Transmit [$[action_equipment_secondary]] Cycle frequency	[$[action_equipment_use]] 通信 [$[action_equipment_secondary]] 循环切换频率	ok
